cluster,condition,autoimmune_or,autoimmune_fdr,cluster_size,in_cluster_in_disease,intersecting_genes
94,Stim8hr,1.9782959715373245,0.0183968397974046,95,30.0,"['CD40LG', 'TNFSF8', 'BCL2L11', 'PGS1', 'ERAP1', 'NCLN', 'DMAC1', 'KLF3', 'TGFBR3', 'CSF2', 'CD109', 'IL2', 'RSRP1', 'EOMES', 'CXCR4', 'CDC37', 'LTA', 'MAST4', 'KMT2A', 'CUTA', 'PSAT1', 'CD200', 'SAT1', 'PSMB9', 'PNKD', 'DPP4', 'SOCS3', 'TCF7', 'RBM33', 'FASLG']"
80,Stim48hr,1.9238899201539068,0.0239248276420849,100,32.0,"['CTSH', 'ITGAM', 'FAS', 'PPP2R5C', 'CD6', 'CEP128', 'STAT1', 'PDK1', 'DOCK9', 'CD69', 'KLF3', 'CSF2', 'CLEC2D', 'TP53INP1', 'ACTN1', 'RIN3', 'LTA', 'FUT8', 'EDARADD', 'ZFP36L2', 'NFKBIZ', 'TMEM71', 'ARID5B', 'SYNE2', 'SEPTIN9', 'TBX21', 'CCR2', 'PXYLP1', 'MAPK1', 'HDAC7', 'PDIA3', 'SHISA2']"
110,Stim8hr,4.214698621779831,0.0248566350974764,12,6.0,"['MAP3K8', 'EAF2', 'EGR2', 'NFKBIA', 'IQCN', 'ADO']"
46,Stim8hr,1.8334886579123972,0.0252758754865612,100,30.0,"['CBLB', 'SEH1L', 'NCK2', 'RNASET2', 'KCTD20', 'ACTR2', 'UBL3', 'FOXO1', 'HDAC4', 'MLKL', 'WDR36', 'PSD3', 'ARPC2', 'GALC', 'ARHGAP15', 'TRABD2A', 'ARSB', 'FOSL2', 'ABTB3', 'CA11', 'C8orf33', 'HIVEP2', 'HECW2', 'INPP5A', 'MBD2', 'DENND3', 'SP140L', 'ATP2A2', 'JAK2', 'F5']"
64,Stim8hr,1.9259692387851357,0.0255276178239784,100,31.0,"['CBLB', 'TNFAIP3', 'RCC1', 'ADGRE5', 'CDKN3', 'HIF1A', 'UFM1', 'NUDT1', 'KIF11', 'IGF1R', 'FEN1', 'DUSP5', 'PCMTD1', 'PTGER4', 'CD69', 'CSK', 'NR3C1', 'TRAF1', 'ELF1', 'IL10', 'CD44', 'TNFAIP8', 'ZBTB21', 'CCR2', 'BHLHE40', 'MFSD6', 'PTPN22', 'SENP6', 'JARID2', 'HDGF', 'UBLCP1']"
88,Stim48hr,1.6591010514938052,0.046223759924605,100,29.0,"['TRIM22', 'CD6', 'ZMAT3', 'DUSP5', 'SATB1', 'PSMG1', 'STAT3', 'PCMTD1', 'TNFSF11', 'MYO3B', 'ACTN1', 'IL2', 'CXCR4', 'LITAF', 'APEH', 'RYBP', 'C12orf75', 'PSAT1', 'LEF1', 'CDKN1A', 'SYPL1', 'CD226', 'FADS2', 'RBM33', 'ATP2A2', 'SESN1', 'MCL1', 'IL13', 'MYB']"
22,Stim48hr,1.9238899201539068,0.0478496552841698,100,32.0,"['IL2RA', 'TRIM22', 'STK17B', 'TIAM1', 'LAG3', 'STAT1', 'FYB1', 'IRF1', 'OAS3', 'CTLA4', 'ICOS', 'NCALD', 'MCM6', 'NDUFV2', 'SAMHD1', 'MX1', 'ARL4C', 'GSDMB', 'KIF2A', 'PSAT1', 'GNL3', 'SYNE2', 'METAP2', 'SOCS3', 'TUFM', 'CDC42SE2', 'MCL1', 'NLRC5', 'IL13', 'ADA2', 'TYMP', 'ORMDL3']"
91,Stim8hr,1.9259692387851357,0.0510694929224148,100,31.0,"['CBLB', 'TNFAIP3', 'RCC1', 'PHLDA1', 'ADGRE5', 'FAS', 'TNFSF8', 'UFM1', 'ZMAT3', 'BACH2', 'LCP1', 'RNF19A', 'CIT', 'AGO2', 'ACTB', 'CD44', 'C12orf75', 'RRM1', 'CDKN1A', 'CDC42EP3', 'FOXP1', 'FADS2', 'STAT5B', 'PHF19', 'ATP2A2', 'SESN1', 'MKI67', 'IFI30', 'AEN', 'TRIM22', 'SMC4']"
88,Stim8hr,1.9259692387851357,0.0510694929224148,100,31.0,"['CBLB', 'TNFAIP3', 'UFM1', 'ADAT2', 'KIF11', 'NFKBIA', 'FEN1', 'DUSP5', 'VSIR', 'RNF19A', 'CD69', 'BIRC5', 'AGO2', 'CD44', 'TPGS2', 'C12orf75', 'RRM1', 'TNFAIP8', 'CDC42EP3', 'CD226', 'FOXP1', 'HIVEP3', 'PIM3', 'TGIF1', 'PHF19', 'JARID2', 'PKIA', 'MKI67', 'F5', 'NDFIP1', 'SMC4']"
82,Stim48hr,1.7445784093708658,0.059612988231096,100,30.0,"['IL2RA', 'PHLDA1', 'IL21R', 'STK17B', 'CD40LG', 'CD6', 'EZR', 'GRAMD1B', 'CRIM1', 'STAP1', 'PIK3CB', 'CSF2', 'RNF144A', 'GATA3', 'THYN1', 'CD44', 'STAT4', 'CCR1', 'TMEM71', 'PSMB9', 'GCA', 'CCR2', 'GLUL', 'MBD2', 'ANXA1', 'TNIP3', 'ABI1', 'ADA2', 'IGSF9B', 'AGTPBP1']"
84,Stim8hr,1.6569921415252102,0.0693000528694319,100,28.0,"['TNFAIP3', 'PHLDA1', 'ADGRE5', 'FAS', 'UFM1', 'NUDT1', 'KIF11', 'FEN1', 'ZMAT3', 'DUSP5', 'BACH2', 'ANK3', 'RNF19A', 'TRAF1', 'AGO2', 'ACTB', 'CD44', 'TPGS2', 'C12orf75', 'CDKN1A', 'KLF10', 'HIVEP3', 'JARID2', 'SESN1', 'MKI67', 'AEN', 'TRIB1', 'TRIM22']"
59,Stim48hr,1.8328005312207287,0.0836906179943831,100,31.0,"['ATP8B4', 'BCL2L11', 'NPEPPS', 'MICOS10', 'DUSP5', 'STAT3', 'SPATS2L', 'PSMG1', 'CISD3', 'RNF19A', 'CD69', 'LYST', 'CTLA4', 'ADAM15', 'TRAFD1', 'TP53INP1', 'ODC1', 'NCALD', 'RYBP', 'CREM', 'CD5', 'PSD4', 'MBNL1', 'DPP4', 'RBM33', 'THEMIS', 'F5', 'CD28', 'FOXP3', 'ZNF800', 'IGSF9B']"
86,Stim48hr,1.4959242200659115,0.0842684850456712,100,27.0,"['ACTA2', 'IL2RA', 'TNFAIP3', 'TRIM22', 'IL21R', 'FAS', 'ZMAT3', 'TMBIM1', 'DRAM1', 'SLC39A8', 'TAGAP', 'CXCR4', 'RBM17', 'RYBP', 'C12orf75', 'CDKN1A', 'ITPR1', 'FADS2', 'CREM', 'DARS1', 'CDKN2C', 'ETS1', 'AEN', 'PDIA3', 'AEBP2', 'FADS1', 'MYB']"
90,Stim8hr,1.491011197630244,0.1101815579342551,100,26.0,"['IRF8', 'GSE1', 'BCL2L11', 'GPR18', 'LRRC58', 'PHC1', 'FYB1', 'STIM1', 'AHI1', 'ANXA11', 'ODC1', 'IL10', 'TESPA1', 'ZNF704', 'SLC43A3', 'HNRNPAB', 'HPSE', 'GPR174', 'M6PR', 'NEK6', 'JUND', 'IRF4', 'TCF7', 'SESN1', 'CD28', 'TRIM22']"
87,Stim8hr,1.6569921415252102,0.1155000881157199,100,28.0,"['CBLB', 'TNFAIP3', 'RCC1', 'PHLDA1', 'ADGRE5', 'FEN1', 'ZMAT3', 'DUSP5', 'PSMG1', 'NUP205', 'CARMIL2', 'SLA', 'AKAP13', 'CDKN1A', 'TNFAIP8', 'HNRNPAB', 'CD226', 'AGK', 'PTPN22', 'TGIF1', 'JARID2', 'SPATA13', 'TRIB1', 'FASLG', 'LBH', 'ZEB2', 'UBLCP1', 'MIF']"
21,Rest,1.8125660735119984,0.1174473665804639,100,30.0,"['CDCA7', 'GSE1', 'SNRPC', 'FEN1', 'GRINA', 'PCMTD1', 'DUSP22', 'UBE2H', 'SLC12A7', 'CSF2', 'SP110', 'TRAFD1', 'IL2', 'CXCR4', 'GALC', 'SLC43A3', 'C12orf75', 'IFITM2', 'STAT4', 'SYNE2', 'MBD2', 'KLF6', 'JAK2', 'EIF4H', 'GINS2', 'IFNG', 'TOMM22', 'ADA2', 'TYMP', 'MYB']"
78,Rest,1.4724528256082936,0.122681363764328,100,26.0,"['PRKCB', 'PGAP3', 'MSRA', 'BCL2L11', 'GPR18', 'CD247', 'TRAT1', 'RNASET2', 'SATB1', 'CYLD', 'TSPAN18', 'SPNS3', 'B3GNT2', 'IDUA', 'NCOR2', 'CTSW', 'RNF145', 'IKZF1', 'LGALS9', 'PRDX6', 'CD244', 'TNFRSF14', 'FAM13A', 'PTPN22', 'IKZF2', 'REXO2']"
94,Stim48hr,1.4959242200659115,0.1324219050717691,100,27.0,"['IL2RA', 'PHLDA1', 'CD40LG', 'STAT1', 'STAT3', 'STIM1', 'CSF2', 'ALPK1', 'CD80', 'TP53INP1', 'CEMIP2', 'FGFR1', 'GATA3', 'VOPP1', 'LTA', 'LEF1', 'NARF', 'PSMB9', 'SYNE2', 'MAPK8', 'DPP4', 'SOCS3', 'KLF6', 'PDE4D', 'MCL1', 'IFNG', 'IL13']"
35,Stim48hr,1.4959242200659115,0.1374016880412281,100,27.0,"['CTSH', 'ST6GAL1', 'CEBPB', 'DNMT3A', 'CPPED1', 'FADS1', 'IL23R', 'EPAS1', 'RALBP1', 'RORC', 'ZC2HC1A', 'CD80', 'ATP10A', 'RASA3', 'TRABD2A', 'RIPK2', 'ABTB3', 'FADS2', 'FKBP5', 'PTPRK', 'CCR6', 'INPP5A', 'RGS1', 'RORA', 'CASP10', 'UST', 'USP12']"
25,Stim8hr,1.491011197630244,0.1448631881674471,100,26.0,"['APOBR', 'TRAT1', 'SMAD3', 'SP110', 'PAN3', 'ATXN1', 'GATA3', 'SMAD2', 'LAT2', 'ARL4C', 'CUTA', 'SKAP1', 'FOSL2', 'RIPK2', 'CCR1', 'APBB1IP', 'CSF2RB', 'CA11', 'FRMD4B', 'AGK', 'DOCK5', 'STAT5B', 'GNG2', 'PATJ', 'SP140L', 'IL7R']"
77,Stim8hr,1.5727418489379588,0.1498940557243038,100,27.0,"['PRKCB', 'PITPNM2', 'TNFSF8', 'SATB1', 'OAS3', 'ZFP91', 'CISD1', 'ATP2C1', 'SMAD2', 'SLC43A3', 'FOSL2', 'ERN1', 'ABTB3', 'CA11', 'METAP2', 'FRMD4B', 'BHLHE40', 'PDE7B', 'PATJ', 'KLF6', 'ATP2A2', 'PDE4D', 'ETS1', 'NDFIP1', 'HDGF', 'IRF7', 'CARD11']"
8,Stim48hr,1.4180119825861357,0.1630708735535403,100,26.0,"['IL2RA', 'TNFAIP3', 'BATF3', 'CTH', 'ZMAT3', 'SATB1', 'PSMG1', 'STAT3', 'PHGDH', 'CLEC2D', 'CXCR4', 'PFKFB3', 'RYBP', 'YTHDC1', 'PSAT1', 'HCFC1', 'CDKN1A', 'FOSL2', 'CD47', 'PGD', 'SOCS3', 'TET2', 'PXK', 'CD3E', 'CD28', 'PDIA3']"
34,Stim48hr,1.4180119825861357,0.1630708735535403,100,26.0,"['IL2RA', 'TNFAIP3', 'BATF3', 'CTH', 'ZMAT3', 'SATB1', 'PSMG1', 'STAT3', 'SELL', 'PHGDH', 'CLEC2D', 'CXCR4', 'PFKFB3', 'PSAT1', 'HCFC1', 'CDKN1A', 'FOSL2', 'CCNC', 'CD47', 'PTPN1', 'SOCS3', 'TET2', 'PXK', 'CD3E', 'CD28', 'PDIA3']"
69,Rest,1.748567365510926,0.1653368300544566,44,13.0,"['ACTA2', 'SOCS1', 'PHLDA1', 'CISD3', 'BCL6', 'PTGIR', 'CDKN1A', 'SESN1', 'GPR18', 'HDGF', 'PSMB9', 'SATB1', 'NSUN6']"
27,Stim48hr,1.3424181576295586,0.1796290933566156,100,25.0,"['SLC44A2', 'STK17B', 'BATF3', 'FAM98B', 'KPNA4', 'DCTD', 'CTLA4', 'CLEC2D', 'CD44', 'ARL4C', 'IKZF1', 'HNRNPAB', 'ARID5B', 'CD47', 'CCR2', 'KIF1B', 'COPS8', 'MEAK7', 'RASGRP1', 'ETS1', 'STRAP', 'MAF', 'CD28', 'HDAC7', 'PRXL2C']"
93,Stim8hr,1.3347063547071325,0.1821998857188458,100,24.0,"['TMEM50A', 'IL2RA', 'TNFAIP3', 'STK17B', 'OAS1', 'ARHGAP45', 'FYB1', 'SMAD3', 'SLA', 'ADCY3', 'ARHGAP15', 'RBM17', 'SAMHD1', 'HNRNPAB', 'ACAP1', 'SEPTIN9', 'IL10RA', 'IRF4', 'IKBKE', 'TUFM', 'CDC42SE2', 'F5', 'NDFIP1', 'FASLG']"
96,Stim8hr,1.3347063547071325,0.1821998857188458,100,24.0,"['TNFAIP3', 'RCC1', 'PHLDA1', 'ADGRE5', 'UFM1', 'DUSP5', 'BACH2', 'PSMG1', 'SLAMF6', 'RNF19A', 'SLA', 'EGR2', 'CSK', 'AKAP13', 'AGO2', 'CD44', 'HCFC1', 'HNRNPAB', 'FYN', 'PTPN22', 'JARID2', 'TRIB1', 'LBH', 'ZEB2']"
30,Rest,1.4724528256082936,0.184022045646492,100,26.0,"['IL2RA', 'PHLDA1', 'ITGAM', 'S1PR4', 'LAG3', 'TRAT1', 'BMP2K', 'DOCK9', 'SLC12A7', 'KLF3', 'AHI1', 'CTLA4', 'SAMHD1', 'EDARADD', 'MAX', 'CD2', 'KLF2', 'CD47', 'MAD1L1', 'HK1', 'ZC3H12C', 'ATP8B2', 'RGS14', 'HDAC7', 'FASLG', 'ZEB2']"
74,Stim48hr,1.4959242200659115,0.197622644541854,100,27.0,"['STK24', 'FAS', 'METTL8', 'MICOS10', 'ZNRF1', 'SLC30A5', 'PDK1', 'TG', 'RTKN2', 'AKAP13', 'ICOS', 'CTSW', 'IL2', 'DAP', 'SH3BP5', 'STX4', 'L1CAM', 'CD244', 'ITPK1', 'GLUL', 'KCTD12', 'SNX5', 'IKZF2', 'CAPZB', 'STRAP', 'SBNO2', 'ICAM2']"
35,Stim8hr,1.491011197630244,0.1983268042816592,100,26.0,"['CTSH', 'CPPED1', 'PRPF3', 'ZNRF1', 'NUP205', 'CARMIL2', 'RORC', 'SP110', 'CD80', 'NR3C2', 'TMEM167A', 'RBM17', 'CUTA', 'SRSF4', 'TRABD2A', 'RIPK2', 'RAPGEF3', 'SRPK1', 'CA11', 'C1GALT1', 'INPP5A', 'DENND3', 'RORA', 'TET2', 'SP140L', 'ETS1']"
82,Rest,1.7332207070374983,0.2053917187092379,34,10.0,"['APOBR', 'UBAC2', 'STAT4', 'RAPGEF6', 'TNFSF8', 'JAK2', 'CCR5', 'CLEC2D', 'PRR5L', 'CCR2']"
19,Stim8hr,1.5727418489379588,0.2079047221574446,100,27.0,"['STK17B', 'PIK3R1', 'SETBP1', 'LAG3', 'DUSP5', 'BACH2', 'CYLD', 'KLF12', 'RCN1', 'SMAD3', 'SYNGAP1', 'L3MBTL3', 'STING1', 'GPX4', 'CEMIP2', 'SEC61G', 'ZFP36L2', 'ZAP70', 'ACVR2A', 'AAK1', 'GLUL', 'KIF1B', 'MBNL1', 'DPP4', 'CRYBG1', 'JAK2', 'IL13']"
95,Rest,1.7235164756472985,0.2120337181219176,100,29.0,"['PRKCB', 'ZFP90', 'ITGAM', 'TIAM1', 'CD40LG', 'FEN1', 'MPP7', 'DUSP5', 'RFX3', 'PHC1', 'FYB1', 'HIPK1', 'DLD', 'PREX1', 'CXCR4', 'NBL1', 'PPM1G', 'ITGA4', 'FUT8', 'STAT4', 'LMNA', 'SP3', 'TMEM71', 'M6PR', 'ACAP1', 'VEGFB', 'PATJ', 'BAZ2B', 'CCR5']"
98,Rest,1.5535715630688645,0.2332553681362801,100,27.0,"['YPEL3', 'CEBPB', 'STK17B', 'TRAT1', 'PDE4A', 'GRAMD1B', 'PSTPIP1', 'GALNT3', 'KLF3', 'CHMP4B', 'CX3CR1', 'KIAA0319L', 'CLEC2D', 'FGFR1', 'SOCS1', 'PPM1G', 'LTA', 'ITGA4', 'STARD10', 'STAT4', 'ABTB3', 'INPP5A', 'BHLHE40', 'IKZF3', 'TUFM', 'ICAM2', 'CARD11']"
10,Rest,1.3937642327415058,0.2466953134094756,100,25.0,"['MIDEAS', 'TNFSF8', 'SERTAD2', 'SPATS2L', 'TSPAN18', 'DUSP22', 'IAH1', 'PDK1', 'VSIR', 'PHTF1', 'ARL4C', 'STAT4', 'IKZF1', 'TBC1D5', 'CCNC', 'MAPK8', 'KLF2', 'SMIM14', 'MYC', 'ANXA1', 'ETS1', 'DNAJC5', 'MAML2', 'GPD2', 'TPP2']"
61,Stim8hr,1.411698228230678,0.2612550903410059,100,25.0,"['MAPKAPK5', 'ADAT2', 'NCOA5', 'ACTR2', 'CIITA', 'FOXO1', 'RTKN2', 'PEAK1', 'LSP1', 'RRP15', 'GFI1', 'CTSW', 'PNPO', 'MIER1', 'NARF', 'POMGNT2', 'FOXP1', 'APBB1IP', 'ZSWIM6', 'XPR1', 'IKZF2', 'JAK2', 'NDFIP1', 'PDE7A', 'GLRX3']"
85,Stim8hr,1.259944015395877,0.2726123039843565,100,23.0,"['LRRC32', 'IL2RA', 'CYLD', 'RBPJ', 'SLC39A8', 'CEP57', 'MAP3K14', 'AKAP11', 'PLEC', 'GATA3', 'SMAD2', 'SOCS1', 'TESPA1', 'MAST4', 'KIF2A', 'TXK', 'ITPR1', 'TNFRSF14', 'AFF1', 'IL10RA', 'TNK2', 'LMAN1', 'USP12']"
91,Stim48hr,1.3424181576295586,0.2778624917340029,100,25.0,"['YPEL3', 'CD6', 'CTH', 'BCL2L11', 'ZMAT3', 'SATB1', 'PSMG1', 'ZDHHC14', 'LYST', 'ITM2A', 'PHGDH', 'CXCR4', 'PSAT1', 'IKZF1', 'HSPA9', 'CDKN1A', 'CD2', 'JUND', 'TUFM', 'SESN1', 'MCL1', 'CDC42SE2', 'ZC3H15', 'SBNO2', 'TRIM22']"
105,Stim48hr,1.3424181576295586,0.317557133410289,100,25.0,"['PTPRC', 'ANKZF1', 'CASP8', 'SPATS2L', 'LRRC58', 'CD69', 'CLEC2D', 'IL2', 'CXCR4', 'NDUFV2', 'PFKFB3', 'ST8SIA4', 'ARID5B', 'FRMD4B', 'CD47', 'VMP1', 'SOCS3', 'MCL1', 'STRAP', 'HDAC7', 'IFNG', 'PDIA3', 'MTMR3', 'MIF', 'ORMDL3']"
82,Stim8hr,1.3711958849196124,0.3186692539121413,57,14.0,"['KRAS', 'IL2RA', 'TNFAIP3', 'PHLDA1', 'NCF4', 'PKIA', 'CD40LG', 'ERN1', 'LMO4', 'KLF10', 'ITGAX', 'IFNG', 'NLRC5', 'CARD11']"
74,Rest,1.3174084047922283,0.3227392250778593,100,24.0,"['KIAA0930', 'STK24', 'SIT1', 'ZBTB46', 'TEC', 'UBASH3B', 'TRAT1', 'RNASET2', 'PAPOLA', 'FOXO1', 'MAP4K2', 'CTSW', 'ST3GAL2', 'IKZF1', 'CD244', 'ITPK1', 'HK1', 'IKZF2', 'RGS14', 'ITPKB', 'NDFIP1', 'SKI', 'GRAP2', 'NAB1']"
69,Stim8hr,1.5727418489379588,0.3246459218860094,100,27.0,"['RCC1', 'IL21R', 'DUSP16', 'TNIP2', 'ADGRE5', 'SLAMF7', 'UFM1', 'GRAMD1B', 'ZMAT3', 'DUSP5', 'TMEM182', 'CSK', 'CXCR4', 'EOMES', 'TRAF1', 'IL10', 'IFITM2', 'GNG4', 'ITPR1', 'BATF', 'PRDX5', 'ANXA6', 'MBD2', 'STAT5B', 'JARID2', 'SESN1', 'CD83']"
69,Stim48hr,1.5762527688085055,0.3293710742364235,100,28.0,"['PRKCB', 'PMAIP1', 'LRRC32', 'CEBPB', 'CD6', 'ZMAT3', 'SPATS2L', 'EPAS1', 'BCL6', 'SLC12A7', 'ITM2A', 'KIF2A', 'CUTA', 'C12orf75', 'IFITM2', 'IL13', 'ERN1', 'SNPH', 'ACAP1', 'CD226', 'MBD2', 'DENND3', 'COMMD6', 'PXK', 'ATP8B2', 'CD28', 'TRIM22', 'ICAM2']"
8,Stim8hr,1.3347063547071325,0.3412949221325221,100,24.0,"['CBLB', 'IL2RA', 'SDF2L1', 'FAS', 'STAT3', 'H3-3B', 'CHMP4B', 'CLEC2D', 'ODC1', 'XRCC2', 'AGO2', 'RYBP', 'NFKB1', 'IDI1', 'NEK6', 'SAT1', 'CHAF1B', 'FADS2', 'ZBTB21', 'SEPTIN9', 'PTPN1', 'REXO2', 'CD3E', 'AEBP2']"
51,Stim48hr,1.4180119825861357,0.3657939608699701,100,26.0,"['PMAIP1', 'SNRPC', 'MICOS10', 'STAT3', 'KLF12', 'ERAP1', 'PCMTD1', 'FYB1', 'DDX6', 'CEP57', 'CISD1', 'CLEC2D', 'PPM1G', 'ICAM3', 'IFITM2', 'SKAP1', 'ST3GAL1', 'LNPEP', 'PATJ', 'ITGAL', 'TUFM', 'MAPK1', 'MCL1', 'CD37', 'TOMM22', 'ADA2']"
44,Rest,1.243293030673884,0.3691789214611878,100,23.0,"['PRKCB', 'BCL2L11', 'GPR18', 'CD247', 'RNASET2', 'CYLD', 'TSPAN18', 'SPNS3', 'SLC12A7', 'B3GNT2', 'IDUA', 'CTSW', 'ADGRG5', 'ANXA4', 'MX1', 'ERN1', 'PRDX6', 'CD244', 'TNFRSF14', 'UBE2E1', 'PLCG2', 'NDFIP1', 'HS2ST1']"
89,Rest,1.637223245466845,0.3822098709843702,100,28.0,"['PLAC8', 'TRAT1', 'KIF11', 'FEN1', 'STAT1', 'IRF1', 'FMN1', 'TGFBR3', 'LSP1', 'AGPAT4', 'CD109', 'SAMHD1', 'C12orf75', 'TLR1', 'P2RY10', 'PSMB9', 'CALHM6', 'IL12RB2', 'SYNE2', 'CCR2', 'MBD2', 'NDC80', 'MKI67', 'IFI30', 'IL7R', 'SMC4', 'TYMP', 'ORMDL3']"
