gene,gene_id,condition,donor_correlation_mean,donor_correlation_min
ARPC3,ENSG00000111229,Stim8hr,0.2987038639658289,0.2002358223453109
ARPC4-TTLL3,ENSG00000250151,Stim8hr,0.4948517954241015,0.4236062826622404
ARRDC4,ENSG00000140450,Stim8hr,0.5260098426191483,0.480353504544001
ARSK,ENSG00000164291,Stim8hr,0.6312762875529674,0.3351508319723078
ASNA1,ENSG00000198356,Stim8hr,0.4261426308090933,0.2784294922294315
ASXL1,ENSG00000171456,Stim8hr,0.5989220690897618,0.4606571810541009
ATAD5,ENSG00000176208,Stim8hr,0.6466891892806967,0.5828917047140229
ATF4,ENSG00000128272,Stim8hr,0.4916918579168355,0.393892602132393
ATF7IP2,ENSG00000166669,Stim8hr,0.3127628620089985,0.2356924256456957
ATG12,ENSG00000145782,Stim8hr,0.3763331556320757,0.27496033673734
ATG9A,ENSG00000198925,Stim8hr,0.1837145751701601,0.0320585619355872
ATIC,ENSG00000138363,Stim8hr,0.2985570131885557,0.2426957685245515
ATL1,ENSG00000198513,Stim8hr,0.0621357977212532,-0.1869681297181123
ATM,ENSG00000149311,Stim8hr,0.5414885327052668,0.378517760254656
ATP1B3,ENSG00000069849,Stim8hr,0.2636414563072251,0.2254628794047129
ATP23,ENSG00000166896,Stim8hr,0.5061860401004922,0.4439930439629499
ATP2A2,ENSG00000174437,Stim8hr,0.5621965566378535,0.521922064261515
ATP2A3,ENSG00000074370,Stim8hr,0.6290729565529111,0.4786252357282629
ATP2B1,ENSG00000070961,Stim8hr,0.4228046037218309,0.3032949864515985
ATP5F1A,ENSG00000152234,Stim8hr,0.4683653905881129,0.3536667726099066
ATP5MC1,ENSG00000159199,Stim8hr,0.002305938293911,-0.1591441689102014
ATP5ME,ENSG00000169020,Stim8hr,0.6309607931166555,0.4743758808624498
ATP5PF,ENSG00000154723,Stim8hr,0.2528522998158218,0.0094169286936594
ATP5PO,ENSG00000241837,Stim8hr,0.5515613161608323,0.4750854340833431
ATP6V0A2,ENSG00000185344,Stim8hr,0.0441472742176461,0.0006675951643149
ATP8B1,ENSG00000081923,Stim8hr,-0.1423568039658396,-0.168846353142209
ATRX,ENSG00000085224,Stim8hr,0.6851286726983892,0.6546271766718388
ATXN10,ENSG00000130638,Stim8hr,0.2894944197238125,0.2373415403508421
ATXN2L,ENSG00000168488,Stim8hr,0.2470016169184367,-0.1112661937034409
ATXN7L3,ENSG00000087152,Stim8hr,0.5790386889733385,0.5379805933112648
AUP1,ENSG00000115307,Stim8hr,0.7739885070453645,0.6625849389890003
AVEN,ENSG00000169857,Stim8hr,0.6114986298766377,0.592867883205256
B4GALT1,ENSG00000086062,Stim8hr,0.6333875362918217,0.5802088830986445
BAHD1,ENSG00000140320,Stim8hr,0.4687461831906387,0.4107836046300595
BAP1,ENSG00000163930,Stim8hr,0.1675489826803584,0.0800348519652407
BATF,ENSG00000156127,Stim8hr,0.6060844903751618,0.5550163463566813
BAX,ENSG00000087088,Stim8hr,0.410187273466409,0.1925945676250383
BBS10,ENSG00000179941,Stim8hr,0.3595179472133643,0.2278289015748843
BCAP29,ENSG00000075790,Stim8hr,-0.0404108577957726,-0.0893064968282727
BCAT2,ENSG00000105552,Stim8hr,0.6478241416562976,0.6336605850263458
BCKDHA,ENSG00000248098,Stim8hr,0.2040688806261387,0.1809351778678563
BCL10,ENSG00000142867,Stim8hr,0.5548670240501085,0.3915830336767816
BCL11B,ENSG00000127152,Stim8hr,0.619697542063611,0.5323625240705396
BCL3,ENSG00000069399,Stim8hr,0.562295462132659,0.4826744141189734
BCLAF1,ENSG00000029363,Stim8hr,0.757134827498024,0.72166240476168
BCOR,ENSG00000183337,Stim8hr,0.4865083714818709,0.4119776629022946
BCS1L,ENSG00000074582,Stim8hr,0.531512238007868,0.4554223695899548
BEGAIN,ENSG00000183092,Stim8hr,0.1950957458297834,0.093075788970693
BHLHE40,ENSG00000134107,Stim8hr,0.7372858443192283,0.7310907477553616
BLOC1S2,ENSG00000196072,Stim8hr,0.2259882528538463,0.1360114865598209
BLOC1S4,ENSG00000186222,Stim8hr,0.3415908917906035,0.2603239730452619
BMI1,ENSG00000168283,Stim8hr,0.3333061461498766,0.2299850156705677
BORCS8-MEF2B,ENSG00000064489,Stim8hr,0.9050661406111778,0.880966896635479
BPTF,ENSG00000171634,Stim8hr,0.6020841525567858,0.5305195453668562
BRD1,ENSG00000100425,Stim8hr,0.674990564592182,0.608459965532494
BRD7,ENSG00000166164,Stim8hr,0.6712293306197931,0.5284180372744507
BRD8,ENSG00000112983,Stim8hr,0.5728318875925166,0.5541384595289234
BRD9,ENSG00000028310,Stim8hr,0.7571195538802059,0.6959238164404334
BRK1,ENSG00000254999,Stim8hr,0.528918072794439,0.4433465172126906
BRMS1,ENSG00000174744,Stim8hr,0.640805375701988,0.6093721046043887
BRPF1,ENSG00000156983,Stim8hr,0.6330029571744068,0.6061665899001166
BRWD1,ENSG00000185658,Stim8hr,0.4793109574254192,0.3066615460960857
BTAF1,ENSG00000095564,Stim8hr,0.5651349140388584,0.5166867799926637
BTBD2,ENSG00000133243,Stim8hr,-0.6301524010601339,-0.8714413718416436
C11orf54,ENSG00000182919,Stim8hr,0.4913835854878789,0.4558324707469292
C11orf68,ENSG00000175573,Stim8hr,0.0393653586566109,-0.1295753448562419
C16orf72,ENSG00000182831,Stim8hr,0.6014013280591711,0.4884612603031227
C16orf87,ENSG00000155330,Stim8hr,0.3522039950563392,0.1344489342894783
C18orf32,ENSG00000177576,Stim8hr,0.1894804557042875,0.0641398035362673
C19orf54,ENSG00000188493,Stim8hr,0.5552971848572098,0.3339174883627628
C1D,ENSG00000197223,Stim8hr,0.4643378081089333,0.4356277609140413
C1S,ENSG00000182326,Stim8hr,0.1098927326692859,-0.6561922808739341
C1orf109,ENSG00000116922,Stim8hr,0.4653104071804972,0.4058963031568799
C1orf115,ENSG00000162817,Stim8hr,-0.1590273912956249,-0.7381170281157192
C2CD2L,ENSG00000172375,Stim8hr,0.0156346366413061,-0.1250886284173819
C2CD5,ENSG00000111731,Stim8hr,0.5422504551603978,-0.1548309235212043
C6orf120,ENSG00000185127,Stim8hr,0.2527570805851686,-0.000864906737203
C6orf203,ENSG00000130349,Stim8hr,0.5706903249000406,0.481110579617488
C7orf26,ENSG00000146576,Stim8hr,0.1782725598629934,0.1302640748380359
C7orf55-LUC7L2,ENSG00000269955,Stim8hr,0.5131846911747541,0.4864647095187678
C8orf33,ENSG00000182307,Stim8hr,-0.1897264180960249,-0.3633677702115072
C8orf82,ENSG00000213563,Stim8hr,0.5431021143778628,0.4284497382008345
C9orf64,ENSG00000165118,Stim8hr,0.1885016331306379,0.1374443625482331
CAB39,ENSG00000135932,Stim8hr,-0.0198229686645215,-0.0847388492538034
CABIN1,ENSG00000099991,Stim8hr,0.4653955286958964,0.4162122679306676
CABP5,ENSG00000105507,Stim8hr,-0.2973616988049901,-0.3902519519030137
CACHD1,ENSG00000158966,Stim8hr,-0.1733296527590239,-0.2638838508047464
CAD,ENSG00000084774,Stim8hr,0.4062832172358173,0.3577886046511168
CALCOCO2,ENSG00000136436,Stim8hr,0.6103302898705644,0.5730872571768569
CAMSAP1,ENSG00000130559,Stim8hr,0.5370798781269718,0.464947682243532
CAND1,ENSG00000111530,Stim8hr,0.5919966480190099,0.5641568361486927
CAP1,ENSG00000131236,Stim8hr,0.6468837602466176,0.6041773087519088
CAPZA1,ENSG00000116489,Stim8hr,0.6075948594948951,0.4841238354377146
CARD11,ENSG00000198286,Stim8hr,0.4185757338096471,0.1603427136833392
CARM1,ENSG00000142453,Stim8hr,0.7059404919591142,0.6921425939751077
CARMIL2,ENSG00000159753,Stim8hr,0.564187370466586,0.4295077150697999
CARNMT1,ENSG00000156017,Stim8hr,0.9209024409714908,0.890977579647556
CASC3,ENSG00000108349,Stim8hr,0.4784391303588771,0.4275101000115409
CASP3,ENSG00000164305,Stim8hr,0.7324724597918765,0.585826406997271
CBFB,ENSG00000067955,Stim8hr,0.4962250968672,0.3980848086361358
CBLB,ENSG00000114423,Stim8hr,0.7503447101554669,0.6645479083593964
CBLL1,ENSG00000105879,Stim8hr,0.0971520793050604,0.04692850822717
CBX1,ENSG00000108468,Stim8hr,0.4515422293075454,0.1806799028691846
CBX3,ENSG00000122565,Stim8hr,0.6162251274218257,0.4147727944249463
CBX5,ENSG00000094916,Stim8hr,0.6184194821522412,0.5761349397152735
CCAR1,ENSG00000060339,Stim8hr,0.1726237938216213,0.0872090854460772
CCAR2,ENSG00000158941,Stim8hr,0.4733887887195455,0.3819312632907595
CCDC12,ENSG00000160799,Stim8hr,0.0417379796877727,-0.0959904909576893
CCDC134,ENSG00000100147,Stim8hr,0.5973960926181104,0.5593390989104563
CCDC136,ENSG00000128596,Stim8hr,-0.311679021873457,-0.3906718959484012
CCDC138,ENSG00000163006,Stim8hr,-0.0079616962763286,-0.0781978189930352
CCDC28B,ENSG00000160050,Stim8hr,0.5030327402391912,0.3291493366137208
CCDC59,ENSG00000133773,Stim8hr,0.2989839359865425,0.2011579859662373
CCDC6,ENSG00000108091,Stim8hr,0.2587033414813515,0.1413418032109805
CCDC93,ENSG00000125633,Stim8hr,0.5669815975603029,0.3892598902198784
CCNA2,ENSG00000145386,Stim8hr,0.3648426320969911,0.2995722101039097
CCNC,ENSG00000112237,Stim8hr,0.3101490193323785,0.1913134352632603
CCND2,ENSG00000118971,Stim8hr,0.5453522625748931,0.4444065225813318
CCNE1,ENSG00000105173,Stim8hr,0.4698323782582119,0.3835046238131218
CCNF,ENSG00000162063,Stim8hr,0.6532852741132609,0.3436636207270376
CCNK,ENSG00000090061,Stim8hr,0.4248327266220792,0.3489342059903918
CCNQ,ENSG00000262919,Stim8hr,0.4563093053640787,0.3679225662971219
CCR4,ENSG00000183813,Stim8hr,-0.1202180924259496,-0.1302859361185178
CCR6,ENSG00000112486,Stim8hr,0.0639720476774562,-0.0934227389574904
CCS,ENSG00000173992,Stim8hr,0.5161610324695413,0.4542896480527024
CD2,ENSG00000116824,Stim8hr,0.6733894037113334,0.6331705456608149
CD244,ENSG00000122223,Stim8hr,0.0829962616952672,-0.1124005429887047
CD247,ENSG00000198821,Stim8hr,0.7169121804958944,0.683133366422193
CD274,ENSG00000120217,Stim8hr,-0.0604426850734414,-0.1583047733013812
CD28,ENSG00000178562,Stim8hr,0.670151507520421,0.6259902425072634
CD3D,ENSG00000167286,Stim8hr,0.7717318145748416,0.7520568954096254
CD3E,ENSG00000198851,Stim8hr,0.7880160711069452,0.7380679183518334
CD3G,ENSG00000160654,Stim8hr,0.7486901133575331,0.6894970951771944
CD5,ENSG00000110448,Stim8hr,0.7760901943973386,0.7693066717423648
CD99L2,ENSG00000102181,Stim8hr,0.4145112189752142,0.3755814360814524
CDADC1,ENSG00000102543,Stim8hr,0.2471748525814874,0.0135756901482919
CDC123,ENSG00000151465,Stim8hr,0.5684554750951736,0.4851984850108784
CDC25B,ENSG00000101224,Stim8hr,0.3681068416914532,0.2602698241694633
CDCA2,ENSG00000184661,Stim8hr,-0.176225842961607,-0.259311502574937
CDCA3,ENSG00000111665,Stim8hr,0.5113247063861224,0.2510657177895749
CDIPT,ENSG00000103502,Stim8hr,0.4612039480032701,0.4210529745379608
CDK13,ENSG00000065883,Stim8hr,0.7193679066070886,0.7113169701230431
CDK2,ENSG00000123374,Stim8hr,0.6933823398927679,0.5128775517473652
CDK2AP2,ENSG00000167797,Stim8hr,0.6626174132438202,0.4628313548572886
CDK5RAP3,ENSG00000108465,Stim8hr,0.5467600271778191,0.409774752476529
CDKN2AIP,ENSG00000168564,Stim8hr,0.552845375971873,0.3474718813267665
CDS2,ENSG00000101290,Stim8hr,0.5878805434070733,0.5291624872725725
CDYL,ENSG00000153046,Stim8hr,0.5070904586661421,0.4196265779900928
CENPE,ENSG00000138778,Stim8hr,0.1122260942315653,-0.0071475272966187
CENPJ,ENSG00000151849,Stim8hr,0.0084228613533334,-0.1727718760162909
CEP135,ENSG00000174799,Stim8hr,0.48518756385867,0.2995744039154586
CEP350,ENSG00000135837,Stim8hr,0.1003571155297555,-0.1607672331930739
CEP89,ENSG00000121289,Stim8hr,0.4932617985641396,0.4153792066618376
CFAP20,ENSG00000070761,Stim8hr,0.6153470816613077,0.5253999669144415
CFAP298,ENSG00000159079,Stim8hr,0.1180193032674424,0.0215391474535163
CFD,ENSG00000197766,Stim8hr,0.3548840309016968,0.1956394763269887
CHD4,ENSG00000111642,Stim8hr,0.5885438166591767,0.5796549959029329
CHD7,ENSG00000171316,Stim8hr,0.5123846653760314,0.4730691231522047
CHIC2,ENSG00000109220,Stim8hr,0.4087388643927858,0.2710358636997512
CHMP1A,ENSG00000131165,Stim8hr,0.3612724405194405,0.1707870172316586
CHMP4A,ENSG00000254505,Stim8hr,-0.0724072274795961,-0.2250970386291703
CHORDC1,ENSG00000110172,Stim8hr,0.5275851476889962,0.3268232283322693
CHRNB1,ENSG00000170175,Stim8hr,0.48076078228694,0.3255466319915939
CHTF18,ENSG00000127586,Stim8hr,0.3257372645790578,0.1687591887919627
CHUK,ENSG00000213341,Stim8hr,0.0744202278495793,-0.022346855910396
CHURC1,ENSG00000258289,Stim8hr,-0.2036977142660753,-0.4124823917641196
CIB2,ENSG00000136425,Stim8hr,0.2656445034111316,0.0576169541432064
CIP2A,ENSG00000163507,Stim8hr,-0.1799441231729864,-0.2762786202792903
CIR1,ENSG00000138433,Stim8hr,0.7737044870716252,0.6824354758816186
CISD1,ENSG00000122873,Stim8hr,0.0177924352032112,-0.0980306829291371
CIT,ENSG00000122966,Stim8hr,0.3274597633814148,0.0408854565393644
CKAP2,ENSG00000136108,Stim8hr,0.2784403346695184,0.0463526009698014
CLASRP,ENSG00000104859,Stim8hr,0.2198147482271032,0.1412288280703183
CLCC1,ENSG00000121940,Stim8hr,0.3957450074684161,0.2911909550737179
CLDN7,ENSG00000181885,Stim8hr,0.4098733092836752,0.2905939018448992
CLDND2,ENSG00000160318,Stim8hr,0.5927151521203732,0.424115838062796
CMAS,ENSG00000111726,Stim8hr,0.5117120511238392,0.4828464944289149
CMTM7,ENSG00000153551,Stim8hr,0.0591166984477878,-0.2828592717712748
CMTR1,ENSG00000137200,Stim8hr,0.0680939791487916,0.0361885474485157
CNBP,ENSG00000169714,Stim8hr,0.5106414268042319,0.4414613766899573
CNIH4,ENSG00000143771,Stim8hr,0.1755985101994235,0.009313530017568
CNOT10,ENSG00000182973,Stim8hr,0.1332140102122555,0.1174009926372832
CNOT11,ENSG00000158435,Stim8hr,0.3129406170031801,0.2622807011615271
CNOT4,ENSG00000080802,Stim8hr,0.5655346799697453,0.5514737092776895
CNOT9,ENSG00000144580,Stim8hr,0.3728111391864401,0.2852211195549678
COA3,ENSG00000183978,Stim8hr,0.177513210250323,0.0367169702072645
COA5,ENSG00000183513,Stim8hr,0.5460964832325156,0.4022881466928943
COA7,ENSG00000162377,Stim8hr,0.4295548445520693,0.3605421739658631
COASY,ENSG00000068120,Stim8hr,0.3826497440462283,0.3323586093304327
COG5,ENSG00000164597,Stim8hr,0.0219327957707186,-0.0115184852285578
COG6,ENSG00000133103,Stim8hr,0.1586414399719433,0.0299296467308105
COL4A3BP,ENSG00000113163,Stim8hr,0.4257394386837614,0.2518800948617358
COMMD10,ENSG00000145781,Stim8hr,0.4070216635317314,0.2978888402798189
COMMD5,ENSG00000170619,Stim8hr,0.4937596418191536,0.3842377009090312
COP1,ENSG00000143207,Stim8hr,0.4959982423982885,0.4718462014333593
COPRS,ENSG00000172301,Stim8hr,-0.0082164996747242,-0.0571385630975361
COPS8,ENSG00000198612,Stim8hr,0.1925173565581577,0.1101685091486664
COPS9,ENSG00000172428,Stim8hr,0.7096079028363261,0.6475345295681336
COQ2,ENSG00000173085,Stim8hr,0.2490947892678278,0.0786627635383379
COQ3,ENSG00000132423,Stim8hr,0.1365440816322166,0.0970135303015051
COQ4,ENSG00000167113,Stim8hr,0.6647359268266494,0.5811964216314905
