gene,condition,cluster,manual_annotation,best_described_by,condition_specificity
ACTR5,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
ACTR8,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
RO60,Rest,2,Ino80 complex,Ino80 complex,across_condition
INO80C,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
INO80C,Rest,2,Ino80 complex,Ino80 complex,across_condition
ACTR5,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
RO60,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
HEY1,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
UCHL5,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
ACTR8,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
ACTR8,Rest,2,Ino80 complex,Ino80 complex,across_condition
INO80,Stim48hr,2,Ino80 complex,Ino80 complex,across_condition
INO80,Stim8hr,2,Ino80 complex,Ino80 complex,across_condition
PAGR1,Stim48hr,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
PAGR1,Rest,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
PAGR1,Stim8hr,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
STAG2,Stim8hr,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
PAXIP1,Stim8hr,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
STAG2,Stim48hr,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
STAG2,Rest,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
PAXIP1,Stim48hr,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
PAXIP1,Rest,3,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition
BRMS1,Stim48hr,4,unknown,Sin3 complex,across_condition
BRMS1,Rest,4,unknown,Sin3 complex,across_condition
BRMS1,Stim8hr,4,unknown,Sin3 complex,across_condition
SAP130,Rest,4,unknown,Sin3 complex,across_condition
SAP130,Stim8hr,4,unknown,Sin3 complex,across_condition
SAP130,Stim48hr,4,unknown,Sin3 complex,across_condition
MCTS1,Stim8hr,5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition
DENR,Stim48hr,5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition
DENR,Stim8hr,5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition
DENR,Rest,5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition
MCTS1,Rest,5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition
MCTS1,Stim48hr,5,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition
PHF12,Stim8hr,6,unknown,Sin3 complex,across_condition
SIN3B,Stim8hr,6,unknown,Sin3 complex,across_condition
PHF12,Rest,6,unknown,Sin3 complex,across_condition
SLF1,Stim8hr,6,unknown,Sin3 complex,across_condition
GATAD1,Stim8hr,6,unknown,Sin3 complex,across_condition
SIN3B,Stim48hr,6,unknown,Sin3 complex,across_condition
PHF12,Stim48hr,6,unknown,Sin3 complex,across_condition
SIN3B,Rest,6,unknown,Sin3 complex,across_condition
PIM1,Stim8hr,6,unknown,Sin3 complex,across_condition
GATAD1,Stim48hr,6,unknown,Sin3 complex,across_condition
GATAD1,Rest,6,unknown,Sin3 complex,across_condition
UBR4,Stim8hr,6,unknown,Sin3 complex,across_condition
PIM1,Rest,6,unknown,Sin3 complex,across_condition
CASC3,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG7,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
CASC3,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG9,Stim48hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG9,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SRR,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
XRN1,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
CASC3,Stim48hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
UPF2,Stim48hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG1,Stim48hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
UPF2,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG8,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
UPF2,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG7,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
TMEM79,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG9,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG8,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
TMEM79,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG5,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG8,Stim48hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG1,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SRR,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
XRN1,Rest,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG1,Stim8hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
SMG7,Stim48hr,7,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition
DPH5,Rest,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
TTC4,Rest,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH2,Stim48hr,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DNAJC24,Stim48hr,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
TPT1,Rest,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH6,Stim48hr,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH1,Stim48hr,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH1,Rest,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH5,Stim48hr,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DNAJC24,Rest,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
TPT1,Stim48hr,8,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
CD274,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
SUPT7L,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MEST,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
TADA2B,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MED13,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
COPRS,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
ECHS1,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
GLIPR2,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
TADA1,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
TAF6L,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
STX16,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
RNFT1,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MED19,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
PEX6,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MOSPD2,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
UBE2L3,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
PSMB9,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
SGF29,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
ZNF280D,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MED1,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
TAF5L,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
SENP5,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
EID2,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
SUPT20H,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
SCYL3,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MED12,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MED15,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
POGLUT3,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
CHD7,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
ZNF613,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
ZFPM1,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
CCNC,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
NRAS,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
TSPYL5,Stim48hr,9,mediator-SAGA,SAGA complex,across_condition
MED19,Rest,10,mediator-SAGA,SAGA complex,across_condition
MED13,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
STX16,Rest,10,mediator-SAGA,SAGA complex,across_condition
POGLUT3,Rest,10,mediator-SAGA,SAGA complex,across_condition
PEX6,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
ARPC4-TTLL3,Rest,10,mediator-SAGA,SAGA complex,across_condition
TAF6L,Rest,10,mediator-SAGA,SAGA complex,across_condition
TMX2,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MED1,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
ARPC4-TTLL3,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MED1,Rest,10,mediator-SAGA,SAGA complex,across_condition
TADA1,Rest,10,mediator-SAGA,SAGA complex,across_condition
MOSPD2,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
EID2,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
GLIPR2,Rest,10,mediator-SAGA,SAGA complex,across_condition
NRAS,Rest,10,mediator-SAGA,SAGA complex,across_condition
RNFT1,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TAF5L,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SLC4A1AP,Rest,10,mediator-SAGA,SAGA complex,across_condition
COPRS,Rest,10,mediator-SAGA,SAGA complex,across_condition
CHD7,Rest,10,mediator-SAGA,SAGA complex,across_condition
MED12,Rest,10,mediator-SAGA,SAGA complex,across_condition
CDCA2,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MED19,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SLC4A1AP,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
ZNF613,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SCYL3,Rest,10,mediator-SAGA,SAGA complex,across_condition
COPRS,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
PEX6,Rest,10,mediator-SAGA,SAGA complex,across_condition
SENP5,Rest,10,mediator-SAGA,SAGA complex,across_condition
ZFPM1,Rest,10,mediator-SAGA,SAGA complex,across_condition
UBE2L3,Rest,10,mediator-SAGA,SAGA complex,across_condition
USP22,Rest,10,mediator-SAGA,SAGA complex,across_condition
PSMB9,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SGF29,Rest,10,mediator-SAGA,SAGA complex,across_condition
TADA3,Rest,10,mediator-SAGA,SAGA complex,across_condition
MED24,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
ZNF280D,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
CD274,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
KLF10,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SUPT20H,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SUPT7L,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TSPYL5,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TAF5L,Rest,10,mediator-SAGA,SAGA complex,across_condition
TAF6L,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MEST,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
ZFPM1,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
UBE2L3,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SUPT20H,Rest,10,mediator-SAGA,SAGA complex,across_condition
SUPT7L,Rest,10,mediator-SAGA,SAGA complex,across_condition
SCYL3,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
POGLUT3,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MED12,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TADA2B,Rest,10,mediator-SAGA,SAGA complex,across_condition
MEST,Rest,10,mediator-SAGA,SAGA complex,across_condition
TSPYL5,Rest,10,mediator-SAGA,SAGA complex,across_condition
STX16,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TADA3,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MED14,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SENP5,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SINHCAF,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TADA2B,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
EID2,Rest,10,mediator-SAGA,SAGA complex,across_condition
CHD7,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
GLIPR2,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
SGF29,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
MED14,Rest,10,mediator-SAGA,SAGA complex,across_condition
CHMP4A,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
NRAS,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TADA1,Stim8hr,10,mediator-SAGA,SAGA complex,across_condition
TAF11,Rest,11,TAF11/13 complex,"mixed, incl. Spermine transport, and protein-DNA complex remodeling",across_condition
TAF13,Rest,11,TAF11/13 complex,"mixed, incl. Spermine transport, and protein-DNA complex remodeling",across_condition
TAF11,Stim8hr,11,TAF11/13 complex,"mixed, incl. Spermine transport, and protein-DNA complex remodeling",across_condition
TAF13,Stim8hr,11,TAF11/13 complex,"mixed, incl. Spermine transport, and protein-DNA complex remodeling",across_condition
SP2,Rest,12,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
PKNOX1,Rest,12,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
PKNOX1,Stim8hr,12,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
SP2,Stim8hr,12,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
CHD4,Stim8hr,13,CHD4/MTA2 complex,NuRD complex,across_condition
MTA2,Stim48hr,13,CHD4/MTA2 complex,NuRD complex,across_condition
MTA2,Stim8hr,13,CHD4/MTA2 complex,NuRD complex,across_condition
MTA2,Rest,13,CHD4/MTA2 complex,NuRD complex,across_condition
CHD4,Rest,13,CHD4/MTA2 complex,NuRD complex,across_condition
CHD4,Stim48hr,13,CHD4/MTA2 complex,NuRD complex,across_condition
GDF9,Stim8hr,14,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
COX10,Stim8hr,14,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
MRPL49,Stim8hr,14,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
SLC31A1,Stim8hr,14,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition
DGKZ,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
HCCS,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SCO1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PNPT1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS27,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
CTPS1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS24,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX19,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MYCN,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TCEA1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX17,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX4I1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX5A,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SLC25A26,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS25,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
KAT14,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL35,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UMPS,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PDSS1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL21,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL46,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SSBP1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
DHODH,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX6C,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TIMM8B,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
EARS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL11,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
ZNF142,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL3,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COA7,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
HSD17B10,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
RDH13,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MIPEP,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL42,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS23,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL45,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
IMPDH2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TUFM,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MTERF3,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
CAD,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COQ3,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SCO2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
HMBS,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UQCRC2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX11,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
VARS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL43,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TFAM,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COQ2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
NSUN4,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL16,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COQ6,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
QRSL1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PARS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COQ4,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SLC25A10,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
POLG,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TWNK,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX6B1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS21,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
RBFA,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS11,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PDSS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
LARS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL37,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COA3,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UQCRQ,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TARS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
BCS1L,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS17,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
FAM161B,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS16,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
POLRMT,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX15,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UQCRC1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS35,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS2,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
CYC1,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS26,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
LRPPRC,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS9,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
STXBP4,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL18,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COA5,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS15,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
KRT72,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UQCRB,Stim8hr,15,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
DCP2,Stim48hr,16,DCP2/DDX6 complex,mRNA decay by 5 to 3 exoribonuclease,across_condition
DDX6,Rest,16,DCP2/DDX6 complex,mRNA decay by 5 to 3 exoribonuclease,across_condition
DCP2,Stim8hr,16,DCP2/DDX6 complex,mRNA decay by 5 to 3 exoribonuclease,across_condition
