,target_contrast,donors,variable,correlation,correlation_ceiling,n_signif,culture_condition,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category
27,ENSG00000131236,CE0008678_CE0010866,CE0008162_CE0006864,0.7527314012317254,0.881751777115636,104,Rest,CAP1,Rest,238.0,140,50,190,-6.555670063201558,True,17.700311475183533,False,>10 DE genes,on-target KD
28,ENSG00000131236,CE0008678_CE0008162,CE0010866_CE0006864,0.5070247159463258,0.800390918078894,606,Rest,CAP1,Rest,238.0,140,50,190,-6.555670063201558,True,17.700311475183533,False,>10 DE genes,on-target KD
29,ENSG00000131236,CE0008678_CE0006864,CE0010866_CE0008162,0.5135863933106396,0.7989741038601247,328,Rest,CAP1,Rest,238.0,140,50,190,-6.555670063201558,True,17.700311475183533,False,>10 DE genes,on-target KD
30,ENSG00000134644,CE0008678_CE0010866,CE0008162_CE0006864,0.688977261769036,0.9462258656697383,9,Rest,PUM1,Rest,500.0,52,32,84,-14.66679557219355,True,53.600312356049166,False,>10 DE genes,on-target KD
31,ENSG00000134644,CE0008678_CE0008162,CE0010866_CE0006864,0.626996257062482,0.9395109027422369,6,Rest,PUM1,Rest,500.0,52,32,84,-14.66679557219355,True,53.600312356049166,False,>10 DE genes,on-target KD
32,ENSG00000134644,CE0008678_CE0006864,CE0010866_CE0008162,0.24929230336056932,0.6768892306130687,359,Rest,PUM1,Rest,500.0,52,32,84,-14.66679557219355,True,53.600312356049166,False,>10 DE genes,on-target KD
33,ENSG00000137275,CE0008678_CE0010866,CE0008162_CE0006864,0.6613561498033537,0.8300187279520628,577,Rest,RIPK1,Rest,312.0,245,193,438,-11.45450338138961,True,43.85780646090669,False,>10 DE genes,on-target KD
34,ENSG00000137275,CE0008678_CE0008162,CE0010866_CE0006864,0.7046309744390195,0.8322941387860205,356,Rest,RIPK1,Rest,312.0,245,193,438,-11.45450338138961,True,43.85780646090669,False,>10 DE genes,on-target KD
35,ENSG00000137275,CE0008678_CE0006864,CE0010866_CE0008162,0.6854034255577787,0.7849387141444911,515,Rest,RIPK1,Rest,312.0,245,193,438,-11.45450338138961,True,43.85780646090669,False,>10 DE genes,on-target KD
36,ENSG00000138071,CE0008678_CE0010866,CE0008162_CE0006864,0.7485458013884059,0.8398680884394499,58,Rest,ACTR2,Rest,241.0,56,21,77,-21.039374180530096,True,215.42292197817324,False,>10 DE genes,on-target KD
37,ENSG00000138071,CE0008678_CE0008162,CE0010866_CE0006864,0.4227532631819161,0.8677678245807593,24,Rest,ACTR2,Rest,241.0,56,21,77,-21.039374180530096,True,215.42292197817324,False,>10 DE genes,on-target KD
38,ENSG00000138071,CE0008678_CE0006864,CE0010866_CE0008162,0.626113836122377,0.8997294073469625,80,Rest,ACTR2,Rest,241.0,56,21,77,-21.039374180530096,True,215.42292197817324,False,>10 DE genes,on-target KD
39,ENSG00000138095,CE0008678_CE0010866,CE0008162_CE0006864,0.8465618483536932,0.9020548654764818,553,Rest,LRPPRC,Rest,485.0,446,326,772,-20.348072240103072,True,134.2395019446863,False,>10 DE genes,on-target KD
40,ENSG00000138095,CE0008678_CE0008162,CE0010866_CE0006864,0.7441723906188936,0.8728081824569951,624,Rest,LRPPRC,Rest,485.0,446,326,772,-20.348072240103072,True,134.2395019446863,False,>10 DE genes,on-target KD
41,ENSG00000138095,CE0008678_CE0006864,CE0010866_CE0008162,0.534277278613265,0.7118627461458622,1700,Rest,LRPPRC,Rest,485.0,446,326,772,-20.348072240103072,True,134.2395019446863,False,>10 DE genes,on-target KD
42,ENSG00000138801,CE0008678_CE0010866,CE0008162_CE0006864,0.32711783793679344,0.7225074436256939,905,Rest,PAPSS1,Rest,432.0,97,153,250,-10.869252546998643,True,41.13110184508214,False,>10 DE genes,on-target KD
43,ENSG00000138801,CE0008678_CE0008162,CE0010866_CE0006864,0.6523631038395848,0.8697528300762221,161,Rest,PAPSS1,Rest,432.0,97,153,250,-10.869252546998643,True,41.13110184508214,False,>10 DE genes,on-target KD
44,ENSG00000138801,CE0008678_CE0006864,CE0010866_CE0008162,0.6008949613229452,0.8097083163590784,349,Rest,PAPSS1,Rest,432.0,97,153,250,-10.869252546998643,True,41.13110184508214,False,>10 DE genes,on-target KD
45,ENSG00000139194,CE0008678_CE0010866,CE0008162_CE0006864,-0.07230565836791777,,38,Rest,RBP5,Rest,792.0,28,4,32,0.0,False,,False,>10 DE genes,no on-target KD
46,ENSG00000139194,CE0008678_CE0008162,CE0010866_CE0006864,-0.04480516175880115,0.34907914880014757,136,Rest,RBP5,Rest,792.0,28,4,32,0.0,False,,False,>10 DE genes,no on-target KD
47,ENSG00000139194,CE0008678_CE0006864,CE0010866_CE0008162,0.3583317944063079,0.7730331467333384,106,Rest,RBP5,Rest,792.0,28,4,32,0.0,False,,False,>10 DE genes,no on-target KD
48,ENSG00000139636,CE0008678_CE0010866,CE0008162_CE0006864,-0.14663495792243209,,522,Rest,LMBR1L,Rest,274.0,43,5,48,-7.74774904805737,True,22.571857307774085,False,>10 DE genes,on-target KD
49,ENSG00000139636,CE0008678_CE0008162,CE0010866_CE0006864,0.20731148798316304,,392,Rest,LMBR1L,Rest,274.0,43,5,48,-7.74774904805737,True,22.571857307774085,False,>10 DE genes,on-target KD
50,ENSG00000139636,CE0008678_CE0006864,CE0010866_CE0008162,0.04877408232681001,,161,Rest,LMBR1L,Rest,274.0,43,5,48,-7.74774904805737,True,22.571857307774085,False,>10 DE genes,on-target KD
51,ENSG00000141385,CE0008678_CE0010866,CE0008162_CE0006864,0.2296940613431013,0.7062731784635394,459,Rest,AFG3L2,Rest,67.0,59,5,64,-2.4808032779861686,False,47.30388580599685,False,>10 DE genes,no on-target KD
52,ENSG00000141385,CE0008678_CE0008162,CE0010866_CE0006864,-0.06370108877400411,0.6128530924105442,249,Rest,AFG3L2,Rest,67.0,59,5,64,-2.4808032779861686,False,47.30388580599685,False,>10 DE genes,no on-target KD
53,ENSG00000141385,CE0008678_CE0006864,CE0010866_CE0008162,-0.08145188785280212,0.3289314589550628,278,Rest,AFG3L2,Rest,67.0,59,5,64,-2.4808032779861686,False,47.30388580599685,False,>10 DE genes,no on-target KD
54,ENSG00000147044,CE0008678_CE0010866,CE0008162_CE0006864,0.22785391336935257,0.776936101275551,459,Rest,CASK,Rest,183.0,77,44,121,-6.129131161875126,True,25.24997795796146,False,>10 DE genes,on-target KD
55,ENSG00000147044,CE0008678_CE0008162,CE0010866_CE0006864,0.10988030436229224,0.7998627798100726,379,Rest,CASK,Rest,183.0,77,44,121,-6.129131161875126,True,25.24997795796146,False,>10 DE genes,on-target KD
56,ENSG00000147044,CE0008678_CE0006864,CE0010866_CE0008162,0.06665969034332438,0.7127522266758775,799,Rest,CASK,Rest,183.0,77,44,121,-6.129131161875126,True,25.24997795796146,False,>10 DE genes,on-target KD
57,ENSG00000150907,CE0008678_CE0010866,CE0008162_CE0006864,0.6681241088393525,0.8002735388849272,1619,Rest,FOXO1,Rest,679.0,804,524,1328,-6.39837118842071,True,60.75926018156196,False,>10 DE genes,on-target KD
58,ENSG00000150907,CE0008678_CE0008162,CE0010866_CE0006864,0.6772661941465532,0.8021026276746227,1406,Rest,FOXO1,Rest,679.0,804,524,1328,-6.39837118842071,True,60.75926018156196,False,>10 DE genes,on-target KD
59,ENSG00000150907,CE0008678_CE0006864,CE0010866_CE0008162,0.5957105290219431,0.4609957757462394,1339,Rest,FOXO1,Rest,679.0,804,524,1328,-6.39837118842071,True,60.75926018156196,False,>10 DE genes,on-target KD
60,ENSG00000154832,CE0008678_CE0010866,CE0008162_CE0006864,0.2529095271623218,0.7474105892060575,1035,Rest,CXXC1,Rest,103.0,375,161,536,-6.56699544307265,True,46.534291597552894,False,>10 DE genes,on-target KD
61,ENSG00000154832,CE0008678_CE0008162,CE0010866_CE0006864,0.3441908963717981,0.680621230409372,1425,Rest,CXXC1,Rest,103.0,375,161,536,-6.56699544307265,True,46.534291597552894,False,>10 DE genes,on-target KD
62,ENSG00000154832,CE0008678_CE0006864,CE0010866_CE0008162,0.30855994233954814,0.7495338826052835,749,Rest,CXXC1,Rest,103.0,375,161,536,-6.56699544307265,True,46.534291597552894,False,>10 DE genes,on-target KD
63,ENSG00000159459,CE0008678_CE0010866,CE0008162_CE0006864,0.6980129827081094,0.8768705165376792,73,Rest,UBR1,Rest,164.0,66,28,94,0.0,False,,False,>10 DE genes,no on-target KD
64,ENSG00000159459,CE0008678_CE0008162,CE0010866_CE0006864,0.40959799428984883,0.862346390512169,123,Rest,UBR1,Rest,164.0,66,28,94,0.0,False,,False,>10 DE genes,no on-target KD
65,ENSG00000159459,CE0008678_CE0006864,CE0010866_CE0008162,0.6980395848624781,0.8627259245902502,60,Rest,UBR1,Rest,164.0,66,28,94,0.0,False,,False,>10 DE genes,no on-target KD
66,ENSG00000159905,CE0008678_CE0010866,CE0008162_CE0006864,0.3258178641619988,0.3634513944302126,2447,Rest,ZNF221,Rest,319.0,452,211,663,-1.6558576528223454,True,0.7769489046179594,False,>10 DE genes,on-target KD
67,ENSG00000159905,CE0008678_CE0008162,CE0010866_CE0006864,0.4036902859149372,0.4860033144079231,1869,Rest,ZNF221,Rest,319.0,452,211,663,-1.6558576528223454,True,0.7769489046179594,False,>10 DE genes,on-target KD
68,ENSG00000159905,CE0008678_CE0006864,CE0010866_CE0008162,0.26151131552978035,0.41437058874606686,2978,Rest,ZNF221,Rest,319.0,452,211,663,-1.6558576528223454,True,0.7769489046179594,False,>10 DE genes,on-target KD
69,ENSG00000160584,CE0008678_CE0010866,CE0008162_CE0006864,0.44096038767277523,0.7688159229176988,569,Rest,SIK3,Rest,344.0,357,100,457,-8.38112418608334,True,28.856136673144466,False,>10 DE genes,on-target KD
70,ENSG00000160584,CE0008678_CE0008162,CE0010866_CE0006864,0.5434065685844149,0.7276205324058505,622,Rest,SIK3,Rest,344.0,357,100,457,-8.38112418608334,True,28.856136673144466,False,>10 DE genes,on-target KD
71,ENSG00000160584,CE0008678_CE0006864,CE0010866_CE0008162,0.4183284105475959,0.7482933318954257,738,Rest,SIK3,Rest,344.0,357,100,457,-8.38112418608334,True,28.856136673144466,False,>10 DE genes,on-target KD
72,ENSG00000160789,CE0008678_CE0010866,CE0008162_CE0006864,0.380198892402497,0.5782375327457264,309,Rest,LMNA,Rest,560.0,20,38,58,-8.317813943090425,True,86.35009477208311,False,>10 DE genes,on-target KD
73,ENSG00000160789,CE0008678_CE0008162,CE0010866_CE0006864,0.5549362762129828,0.7256876491337695,185,Rest,LMNA,Rest,560.0,20,38,58,-8.317813943090425,True,86.35009477208311,False,>10 DE genes,on-target KD
74,ENSG00000160789,CE0008678_CE0006864,CE0010866_CE0008162,0.5726732054980541,0.8474990367857489,7,Rest,LMNA,Rest,560.0,20,38,58,-8.317813943090425,True,86.35009477208311,False,>10 DE genes,on-target KD
75,ENSG00000163472,CE0008678_CE0010866,CE0008162_CE0006864,0.10440600812246434,0.27118369475762777,788,Rest,TMEM79,Rest,396.0,244,7,251,-5.140439261006472,True,6.88344129575332,False,>10 DE genes,on-target KD
76,ENSG00000163472,CE0008678_CE0008162,CE0010866_CE0006864,0.33960462692687066,0.7658982828941626,201,Rest,TMEM79,Rest,396.0,244,7,251,-5.140439261006472,True,6.88344129575332,False,>10 DE genes,on-target KD
77,ENSG00000163472,CE0008678_CE0006864,CE0010866_CE0008162,0.417161885818385,0.7235354753912043,279,Rest,TMEM79,Rest,396.0,244,7,251,-5.140439261006472,True,6.88344129575332,False,>10 DE genes,on-target KD
78,ENSG00000164306,CE0008678_CE0010866,CE0008162_CE0006864,0.06672513265535243,,890,Rest,PRIMPOL,Rest,202.0,35,6,41,-3.800208328428881,True,9.705398246727,True,>10 DE genes,on-target KD
79,ENSG00000164306,CE0008678_CE0008162,CE0010866_CE0006864,-0.0909204647511455,0.07399836640685034,98,Rest,PRIMPOL,Rest,202.0,35,6,41,-3.800208328428881,True,9.705398246727,True,>10 DE genes,on-target KD
80,ENSG00000164306,CE0008678_CE0006864,CE0010866_CE0008162,-0.15504432368060456,0.6511609816013643,44,Rest,PRIMPOL,Rest,202.0,35,6,41,-3.800208328428881,True,9.705398246727,True,>10 DE genes,on-target KD
81,ENSG00000164654,CE0008678_CE0010866,CE0008162_CE0006864,0.11118960659436818,0.32453654754932854,1481,Rest,MIOS,Rest,84.0,369,100,469,-3.7428079003456873,True,25.908416807271628,False,>10 DE genes,on-target KD
82,ENSG00000164654,CE0008678_CE0008162,CE0010866_CE0006864,-0.06409169340381714,0.6410023734216299,1511,Rest,MIOS,Rest,84.0,369,100,469,-3.7428079003456873,True,25.908416807271628,False,>10 DE genes,on-target KD
83,ENSG00000164654,CE0008678_CE0006864,CE0010866_CE0008162,0.08248659181062835,0.6143948966805595,1038,Rest,MIOS,Rest,84.0,369,100,469,-3.7428079003456873,True,25.908416807271628,False,>10 DE genes,on-target KD
84,ENSG00000167863,CE0008678_CE0010866,CE0008162_CE0006864,0.28277440605424276,0.49791983891168345,177,Rest,ATP5PD,Rest,81.0,53,6,59,-8.844243560701779,True,140.76271253713546,True,>10 DE genes,on-target KD
85,ENSG00000167863,CE0008678_CE0008162,CE0010866_CE0006864,0.16926764427054236,0.8281977521907633,154,Rest,ATP5PD,Rest,81.0,53,6,59,-8.844243560701779,True,140.76271253713546,True,>10 DE genes,on-target KD
86,ENSG00000167863,CE0008678_CE0006864,CE0010866_CE0008162,0.4266558982513397,0.7195051757952475,126,Rest,ATP5PD,Rest,81.0,53,6,59,-8.844243560701779,True,140.76271253713546,True,>10 DE genes,on-target KD
87,ENSG00000168038,CE0008678_CE0010866,CE0008162_CE0006864,0.07157254955072773,0.34351449680055035,89,Rest,ULK4,Rest,662.0,32,7,39,-11.399849167212103,True,26.29690452524659,False,>10 DE genes,on-target KD
88,ENSG00000168038,CE0008678_CE0008162,CE0010866_CE0006864,-0.0323472463256063,,149,Rest,ULK4,Rest,662.0,32,7,39,-11.399849167212103,True,26.29690452524659,False,>10 DE genes,on-target KD
89,ENSG00000168038,CE0008678_CE0006864,CE0010866_CE0008162,0.13447344731981514,0.13589524859849594,80,Rest,ULK4,Rest,662.0,32,7,39,-11.399849167212103,True,26.29690452524659,False,>10 DE genes,on-target KD
90,ENSG00000169607,CE0008678_CE0010866,CE0008162_CE0006864,0.1909652376548727,0.33702274141806404,1474,Rest,CKAP2L,Rest,464.0,27,7,34,-14.58131431882579,True,67.5731392091901,False,>10 DE genes,on-target KD
91,ENSG00000169607,CE0008678_CE0008162,CE0010866_CE0006864,0.26354081630627496,,1920,Rest,CKAP2L,Rest,464.0,27,7,34,-14.58131431882579,True,67.5731392091901,False,>10 DE genes,on-target KD
92,ENSG00000169607,CE0008678_CE0006864,CE0010866_CE0008162,0.7639139477438635,0.9692187793910998,21,Rest,CKAP2L,Rest,464.0,27,7,34,-14.58131431882579,True,67.5731392091901,False,>10 DE genes,on-target KD
93,ENSG00000170946,CE0008678_CE0010866,CE0008162_CE0006864,0.49498562495693116,0.8325432723924718,323,Rest,DNAJC24,Rest,506.0,84,127,211,-7.919683080432167,True,12.385702333189052,False,>10 DE genes,on-target KD
94,ENSG00000170946,CE0008678_CE0008162,CE0010866_CE0006864,0.2791422057049943,0.8338645957966025,236,Rest,DNAJC24,Rest,506.0,84,127,211,-7.919683080432167,True,12.385702333189052,False,>10 DE genes,on-target KD
95,ENSG00000170946,CE0008678_CE0006864,CE0010866_CE0008162,0.48964434085644626,0.814875589535769,397,Rest,DNAJC24,Rest,506.0,84,127,211,-7.919683080432167,True,12.385702333189052,False,>10 DE genes,on-target KD
96,ENSG00000171657,CE0008678_CE0010866,CE0008162_CE0006864,-0.12404669361862179,0.647514070898162,158,Rest,GPR82,Rest,694.0,101,20,121,0.0,False,,False,>10 DE genes,no on-target KD
97,ENSG00000171657,CE0008678_CE0008162,CE0010866_CE0006864,-0.2150206737117547,,188,Rest,GPR82,Rest,694.0,101,20,121,0.0,False,,False,>10 DE genes,no on-target KD
98,ENSG00000171657,CE0008678_CE0006864,CE0010866_CE0008162,-0.16206202991501137,,468,Rest,GPR82,Rest,694.0,101,20,121,0.0,False,,False,>10 DE genes,no on-target KD
99,ENSG00000176024,CE0008678_CE0010866,CE0008162_CE0006864,0.09481401779228778,,3161,Rest,ZNF613,Rest,749.0,625,164,789,-7.954915972648296,True,8.659166255520473,False,>10 DE genes,on-target KD
100,ENSG00000176024,CE0008678_CE0008162,CE0010866_CE0006864,-0.028796147198598777,,5690,Rest,ZNF613,Rest,749.0,625,164,789,-7.954915972648296,True,8.659166255520473,False,>10 DE genes,on-target KD
101,ENSG00000176024,CE0008678_CE0006864,CE0010866_CE0008162,-0.08441223866685924,,3231,Rest,ZNF613,Rest,749.0,625,164,789,-7.954915972648296,True,8.659166255520473,False,>10 DE genes,on-target KD
102,ENSG00000176953,CE0008678_CE0010866,CE0008162_CE0006864,-0.4372013670770312,,68,Rest,NFATC2IP,Rest,294.0,48,3,51,-12.066754570364074,True,70.78344180990557,False,>10 DE genes,on-target KD
103,ENSG00000176953,CE0008678_CE0008162,CE0010866_CE0006864,-0.48442687076745505,,81,Rest,NFATC2IP,Rest,294.0,48,3,51,-12.066754570364074,True,70.78344180990557,False,>10 DE genes,on-target KD
104,ENSG00000176953,CE0008678_CE0006864,CE0010866_CE0008162,-0.5499640654406729,,104,Rest,NFATC2IP,Rest,294.0,48,3,51,-12.066754570364074,True,70.78344180990557,False,>10 DE genes,on-target KD
105,ENSG00000180228,CE0008678_CE0010866,CE0008162_CE0006864,0.6374116575819134,0.9116205961257698,38,Rest,PRKRA,Rest,553.0,45,12,57,-14.468220973682788,True,52.1015758884415,False,>10 DE genes,on-target KD
106,ENSG00000180228,CE0008678_CE0008162,CE0010866_CE0006864,0.7434585650255114,0.920049740187872,29,Rest,PRKRA,Rest,553.0,45,12,57,-14.468220973682788,True,52.1015758884415,False,>10 DE genes,on-target KD
107,ENSG00000180228,CE0008678_CE0006864,CE0010866_CE0008162,0.558408753390905,0.8908814369824243,34,Rest,PRKRA,Rest,553.0,45,12,57,-14.468220973682788,True,52.1015758884415,False,>10 DE genes,on-target KD
108,ENSG00000181817,CE0008678_CE0010866,CE0008162_CE0006864,0.3956891184205911,0.5472409958147815,408,Rest,LSM10,Rest,70.0,103,10,113,-2.996819494365235,False,44.889570320793936,False,>10 DE genes,no on-target KD
109,ENSG00000181817,CE0008678_CE0008162,CE0010866_CE0006864,0.3077306489704607,0.767030815760656,180,Rest,LSM10,Rest,70.0,103,10,113,-2.996819494365235,False,44.889570320793936,False,>10 DE genes,no on-target KD
110,ENSG00000181817,CE0008678_CE0006864,CE0010866_CE0008162,0.2935783385202119,0.7690645171388439,248,Rest,LSM10,Rest,70.0,103,10,113,-2.996819494365235,False,44.889570320793936,False,>10 DE genes,no on-target KD
111,ENSG00000182872,CE0008678_CE0010866,CE0008162_CE0006864,0.6191518788623183,0.7873885772373806,813,Rest,RBM10,Rest,644.0,237,147,384,-18.186842053635285,True,58.68685268392805,True,>10 DE genes,on-target KD
112,ENSG00000182872,CE0008678_CE0008162,CE0010866_CE0006864,0.4866969764475049,0.8453526101263164,489,Rest,RBM10,Rest,644.0,237,147,384,-18.186842053635285,True,58.68685268392805,True,>10 DE genes,on-target KD
113,ENSG00000182872,CE0008678_CE0006864,CE0010866_CE0008162,0.6532728765820139,0.8315252082512979,540,Rest,RBM10,Rest,644.0,237,147,384,-18.186842053635285,True,58.68685268392805,True,>10 DE genes,on-target KD
114,ENSG00000183779,CE0008678_CE0010866,CE0008162_CE0006864,0.40864957527220397,0.6096669990513268,283,Rest,ZNF703,Rest,81.0,202,59,261,0.0,False,,False,>10 DE genes,no on-target KD
115,ENSG00000183779,CE0008678_CE0008162,CE0010866_CE0006864,0.2239933507174375,0.7673614477074342,531,Rest,ZNF703,Rest,81.0,202,59,261,0.0,False,,False,>10 DE genes,no on-target KD
116,ENSG00000183779,CE0008678_CE0006864,CE0010866_CE0008162,0.29225403038759185,0.6533336543428228,1173,Rest,ZNF703,Rest,81.0,202,59,261,0.0,False,,False,>10 DE genes,no on-target KD
117,ENSG00000189362,CE0008678_CE0010866,CE0008162_CE0006864,-0.3930083417384689,,209,Rest,NEMP2,Rest,764.0,65,8,73,-7.875983754239407,True,27.619128631643992,False,>10 DE genes,on-target KD
118,ENSG00000189362,CE0008678_CE0008162,CE0010866_CE0006864,-0.5367761670050633,,189,Rest,NEMP2,Rest,764.0,65,8,73,-7.875983754239407,True,27.619128631643992,False,>10 DE genes,on-target KD
119,ENSG00000189362,CE0008678_CE0006864,CE0010866_CE0008162,-0.1118014336474146,,247,Rest,NEMP2,Rest,764.0,65,8,73,-7.875983754239407,True,27.619128631643992,False,>10 DE genes,on-target KD
120,ENSG00000196323,CE0008678_CE0010866,CE0008162_CE0006864,0.5648914158910724,0.7952695300601971,195,Rest,ZBTB44,Rest,75.0,52,86,138,-6.2925875222856895,True,74.9830378207419,False,>10 DE genes,on-target KD
121,ENSG00000196323,CE0008678_CE0008162,CE0010866_CE0006864,0.49012592281757167,0.7767881350605658,198,Rest,ZBTB44,Rest,75.0,52,86,138,-6.2925875222856895,True,74.9830378207419,False,>10 DE genes,on-target KD
